2024-12-23 08:57:50.912 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-12-23 08:57:50.950 [main] INFO  com.dlshouwen.swda.Application - Starting Application using Java 17.0.10 with PID 125300 (D:\Workspace\eclipse\dlshouwen\swda-server\swda-app\target\classes started by liuji in D:\Workspace\eclipse\dlshouwen\swda-server\swda-app)
2024-12-23 08:57:50.951 [main] INFO  com.dlshouwen.swda.Application - The following 1 profile is active: "dev"
2024-12-23 08:57:52.384 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-12-23 08:57:52.385 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2024-12-23 08:57:52.446 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 55 ms. Found 0 JDBC repository interfaces.
2024-12-23 08:57:52.458 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-12-23 08:57:52.459 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-12-23 08:57:52.496 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 26 ms. Found 0 Redis repository interfaces.
2024-12-23 08:57:53.500 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2024-12-23 08:57:53.513 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2024-12-23 08:57:53.515 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-12-23 08:57:53.515 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.25]
2024-12-23 08:57:53.608 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-12-23 08:57:53.609 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2612 ms
2024-12-23 08:57:54.204 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2024-12-23 08:57:54.365 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection com.mysql.cj.jdbc.ConnectionImpl@6018d82c
2024-12-23 08:57:54.367 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2024-12-23 08:57:54.368 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2024-12-23 08:57:54.368 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
2024-12-23 08:57:55.607 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource start closing ....
2024-12-23 08:57:55.607 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2024-12-23 08:57:55.616 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2024-12-23 08:57:55.616 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2024-12-23 08:57:55.731 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2024-12-23 08:57:55.747 [main] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2024-12-23 09:00:29.608 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-12-23 09:00:29.640 [main] INFO  com.dlshouwen.swda.Application - Starting Application using Java 17.0.10 with PID 119928 (D:\Workspace\eclipse\dlshouwen\swda-server\swda-app\target\classes started by liuji in D:\Workspace\eclipse\dlshouwen\swda-server\swda-app)
2024-12-23 09:00:29.640 [main] INFO  com.dlshouwen.swda.Application - The following 1 profile is active: "dev"
2024-12-23 09:00:30.927 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-12-23 09:00:30.929 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2024-12-23 09:00:30.984 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 52 ms. Found 0 JDBC repository interfaces.
2024-12-23 09:00:30.994 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-12-23 09:00:30.996 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-12-23 09:00:31.024 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 21 ms. Found 0 Redis repository interfaces.
2024-12-23 09:00:31.982 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2024-12-23 09:00:31.992 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2024-12-23 09:00:31.994 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-12-23 09:00:31.994 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.25]
2024-12-23 09:00:32.066 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-12-23 09:00:32.066 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2389 ms
2024-12-23 09:00:32.664 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2024-12-23 09:00:32.826 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection com.mysql.cj.jdbc.ConnectionImpl@384b3fe7
2024-12-23 09:00:32.828 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2024-12-23 09:00:32.828 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2024-12-23 09:00:32.829 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
2024-12-23 09:00:33.970 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource start closing ....
2024-12-23 09:00:33.970 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2024-12-23 09:00:33.975 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2024-12-23 09:00:33.976 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2024-12-23 09:00:34.092 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2024-12-23 09:00:34.105 [main] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2024-12-23 09:03:53.517 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-12-23 09:03:53.551 [main] INFO  com.dlshouwen.swda.Application - Starting Application using Java 17.0.10 with PID 130032 (D:\Workspace\eclipse\dlshouwen\swda-server\swda-app\target\classes started by liuji in D:\Workspace\eclipse\dlshouwen\swda-server\swda-app)
2024-12-23 09:03:53.552 [main] INFO  com.dlshouwen.swda.Application - The following 1 profile is active: "dev"
2024-12-23 09:03:54.934 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-12-23 09:03:54.935 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2024-12-23 09:03:55.005 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 65 ms. Found 0 JDBC repository interfaces.
2024-12-23 09:03:55.018 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-12-23 09:03:55.019 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-12-23 09:03:55.051 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 23 ms. Found 0 Redis repository interfaces.
